Category	Confidence
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	0.9972297834431981
00	1.0
00	0.9999723756906077
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	0.99
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	0.99
00	1.0
00	0.9999130434782608
00	1.0
00	1.0
00	1.0
00	0.9972297834431981
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	0.9899739583333332
00	1.0
00	0.99
00	0.99
00	1.0
00	1.0
00	1.0
00	1.0
00	0.97
00	1.0
00	0.9972297834431981
00	0.99
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	0.99
00	1.0
00	1.0
00	1.0
00	0.9998891549240492
00	1.0
00	1.0
00	1.0
00	1.0
00	0.68
00	1.0
00	1.0
00	0.9972297834431981
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	0.9995265676767915
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	0.98
00	0.99
00	0.9972297834431981
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	0.9972297834431981
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	0.9998593936989454
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	0.9797452441047854
00	1.0
00	1.0
00	1.0
00	1.0
00	0.97
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	0.9997467051536373
00	1.0
00	1.0
00	1.0
00	1.0
00	0.9997732571514645
00	1.0
00	1.0
00	1.0
00	1.0
00	0.9989213741352194
00	1.0
00	1.0
00	0.98
00	1.0
00	1.0
00	1.0
00	0.9972297834431981
00	1.0
00	0.9972297834431981
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	0.98
00	1.0
00	1.0
00	1.0
00	1.0
00	0.9999724517906335
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	0.9999435028248587
00	0.9899739583333332
00	1.0
00	1.0
00	1.0
00	1.0
00	1.0
00	0.9972297834431981
00	1.0
00	1.0
00	1.0
